local_datetime,"""Solar""","""Wind Offshore""","""Wind Onshore"""
2018-01-01 00:00:00+00:00,0,3777.006,4950.296
2018-01-01 00:30:00+00:00,0,3824.889,5004.552
2018-01-01 01:00:00+00:00,0,3831.163,4878.408
2018-01-01 01:30:00+00:00,0,3811.415,4969.677
2018-01-01 02:00:00+00:00,0,3819.079,4720.91
2018-01-01 02:30:00+00:00,0,3781.831,4740.524
2018-01-01 03:00:00+00:00,0,3808.015,4798.867
2018-01-01 03:30:00+00:00,0,3738.8,4619.242
2018-01-01 04:00:00+00:00,0,3756.195,4520.198
2018-01-01 04:30:00+00:00,0,3708.897,4658.962
2018-01-01 05:00:00+00:00,0,3696.629,4466.009
2018-01-01 05:30:00+00:00,0,3653.822,4401.37
2018-01-01 06:00:00+00:00,4,3583.232,4155.079
2018-01-01 06:30:00+00:00,4,3665.855,3879.906
2018-01-01 07:00:00+00:00,0,3672.025,3738.854
2018-01-01 07:30:00+00:00,0,3586.933,3633.436
2018-01-01 08:00:00+00:00,4,3437.858,3232.6
2018-01-01 08:30:00+00:00,7,3391.683,3373.241
2018-01-01 09:00:00+00:00,217,3194.194,3254.058
2018-01-01 09:30:00+00:00,436,2981.531,3131.681
2018-01-01 10:00:00+00:00,693,3034.936,3191.455
2018-01-01 10:30:00+00:00,860,2996.876,3080.753
2018-01-01 11:00:00+00:00,1110,3021.567,3143.313
2018-01-01 11:30:00+00:00,1460,2811.688,3098.429
2018-01-01 12:00:00+00:00,1780,2792.367,3181.629
2018-01-01 12:30:00+00:00,1930,2642.328,3058.633
2018-01-01 13:00:00+00:00,1415,2160.484,2843.836
2018-01-01 13:30:00+00:00,1590,1980.196,2996.81
2018-01-01 14:00:00+00:00,1290,2061.484,3160.4
2018-01-01 14:30:00+00:00,812,1967.205,3188.443
2018-01-01 15:00:00+00:00,414,1982.175,3341.563
2018-01-01 15:30:00+00:00,91,1910.835,3667.454
2018-01-01 16:00:00+00:00,2,2097.928,3955.574
2018-01-01 16:30:00+00:00,0,2487.359,4030.062
2018-01-01 17:00:00+00:00,1,3079.759,4151.668
2018-01-01 17:30:00+00:00,0,3035.057,4223.875
2018-01-01 18:00:00+00:00,0,2992.092,4423.191
2018-01-01 18:30:00+00:00,0,2757.155,4490.484
2018-01-01 19:00:00+00:00,0,3011.573,4566.506
2018-01-01 19:30:00+00:00,0,3348.742,4508.11
2018-01-01 20:00:00+00:00,0,3469.476,4818.171
2018-01-01 20:30:00+00:00,0,3463.379,4829.633
2018-01-01 21:00:00+00:00,0,3368.844,4711.372
2018-01-01 21:30:00+00:00,0,3453.722,4632.879
2018-01-01 22:00:00+00:00,0,3465.011,4415.231
2018-01-01 22:30:00+00:00,0,3507.898,4378.63
2018-01-01 23:00:00+00:00,0,3582.408,4288.56
2018-01-01 23:30:00+00:00,0,3495.327,4137.181
2018-01-02 00:00:00+00:00,0,3335.834,4160.384
2018-01-02 00:30:00+00:00,0,3322.006,3843.066
2018-01-02 01:00:00+00:00,0,3359.076,3474.769
2018-01-02 01:30:00+00:00,0,3290.256,3311.476
2018-01-02 02:00:00+00:00,0,3240.329,2883.439
2018-01-02 02:30:00+00:00,0,3157.383,2759.596
2018-01-02 03:00:00+00:00,0,2912.686,2352.153
2018-01-02 03:30:00+00:00,0,2830.219,2198.937
2018-01-02 04:00:00+00:00,0,2822.585,1991.246
2018-01-02 04:30:00+00:00,0,2606.082,2018.769
2018-01-02 05:00:00+00:00,0,2534.58,2002.9
2018-01-02 05:30:00+00:00,0,2443.117,2082.187
2018-01-02 06:00:00+00:00,0,2418.525,2082.1
2018-01-02 06:30:00+00:00,0,2718.506,2201.329
2018-01-02 07:00:00+00:00,0,2356.04,2469.694
2018-01-02 07:30:00+00:00,0,2290.608,2774.311
2018-01-02 08:00:00+00:00,2,2280.424,3052.116
2018-01-02 08:30:00+00:00,7,2522.251,3214.366
2018-01-02 09:00:00+00:00,25,2644.518,3473.233
2018-01-02 09:30:00+00:00,67,2562.594,3899.973
2018-01-02 10:00:00+00:00,146,2399.259,4405.947
2018-01-02 10:30:00+00:00,206,2185.902,4269.202
2018-01-02 11:00:00+00:00,285,2371.075,4484.696
2018-01-02 11:30:00+00:00,389,2500.674,4720.927
2018-01-02 12:00:00+00:00,435,2904.024,5237.212
2018-01-02 12:30:00+00:00,523,3014.974,5195.876
2018-01-02 13:00:00+00:00,645,3255.909,5170.972
2018-01-02 13:30:00+00:00,376,3344.032,5041.144
2018-01-02 14:00:00+00:00,293,3474.912,5096.406
2018-01-02 14:30:00+00:00,164,3574.931,5213.536
2018-01-02 15:00:00+00:00,53,3656.194,5180.896
2018-01-02 15:30:00+00:00,2,3507.376,4875.804
2018-01-02 16:00:00+00:00,8,3034.265,4329.394
2018-01-02 16:30:00+00:00,13,3066.231,3863.784
2018-01-02 17:00:00+00:00,7,3249.168,4137.179
2018-01-02 17:30:00+00:00,0,3265.205,3565.991
2018-01-02 18:00:00+00:00,0,3298.82,3410.188
2018-01-02 18:30:00+00:00,0,3154.933,3754.316
2018-01-02 19:00:00+00:00,0,3322.938,3826.283
2018-01-02 19:30:00+00:00,0,3358.486,3916.607
2018-01-02 20:00:00+00:00,0,3462.858,4122.288
2018-01-02 20:30:00+00:00,0,3533.248,4288.536
2018-01-02 21:00:00+00:00,0,3585.012,4610.312
2018-01-02 21:30:00+00:00,0,3483.613,4677.641
2018-01-02 22:00:00+00:00,0,3311.115,4951.644
2018-01-02 22:30:00+00:00,0,3169.14,4722.035
2018-01-02 23:00:00+00:00,0,3169.866,4833.203
2018-01-02 23:30:00+00:00,0,3131.047,4885.528
2018-01-03 00:00:00+00:00,0,3233.272,5037.264
2018-01-03 00:30:00+00:00,0,3051.123,4819.617
2018-01-03 01:00:00+00:00,0,3134.385,5205.001
2018-01-03 01:30:00+00:00,0,3056.093,5318.734
2018-01-03 02:00:00+00:00,0,3126.263,5379.976
2018-01-03 02:30:00+00:00,0,3193.698,5486.245
2018-01-03 03:00:00+00:00,0,3203.335,5439.524
2018-01-03 03:30:00+00:00,0,3048.867,5296.687
2018-01-03 04:00:00+00:00,0,3084.299,5251.699
2018-01-03 04:30:00+00:00,0,3555.389,5290.74
2018-01-03 05:00:00+00:00,0,3552.732,5162.953
2018-01-03 05:30:00+00:00,0,3468.65,4973.427
2018-01-03 06:00:00+00:00,0,3358.616,4912.655
2018-01-03 06:30:00+00:00,0,3427.203,5068.172
2018-01-03 07:00:00+00:00,0,3351.712,4877.433
2018-01-03 07:30:00+00:00,0,3435.853,4908.859
2018-01-03 08:00:00+00:00,6,3552.78,4953.17
2018-01-03 08:30:00+00:00,27,3698.171,4981.141
2018-01-03 09:00:00+00:00,398,3710.039,5137.745
2018-01-03 09:30:00+00:00,810,3650.899,5192.951
2018-01-03 10:00:00+00:00,1230,3640.469,5225.696
2018-01-03 10:30:00+00:00,1600,3683.946,5234.941
2018-01-03 11:00:00+00:00,1710,3700.064,5448.277
2018-01-03 11:30:00+00:00,1860,3720.574,5455.07
2018-01-03 12:00:00+00:00,2010,3729.872,5263.71
2018-01-03 12:30:00+00:00,2010,3754.225,5254.342
2018-01-03 13:00:00+00:00,1572,3796.86,5305.229
2018-01-03 13:30:00+00:00,1490,3785.368,5400.069
2018-01-03 14:00:00+00:00,1000,3814.558,5367.146
2018-01-03 14:30:00+00:00,543,3811.021,5347.899
2018-01-03 15:00:00+00:00,185,3801.821,5090.309
2018-01-03 15:30:00+00:00,19,3813.223,4838.329
2018-01-03 16:00:00+00:00,5,3755.656,4863.111
2018-01-03 16:30:00+00:00,9,3812.936,4979.948
2018-01-03 17:00:00+00:00,9,3817.566,4612.762
2018-01-03 17:30:00+00:00,1,3808.171,4501.267
2018-01-03 18:00:00+00:00,1,3799.819,4446.618
2018-01-03 18:30:00+00:00,0,3809.526,4519.378
2018-01-03 19:00:00+00:00,0,3771.947,4492.842
2018-01-03 19:30:00+00:00,0,3761.976,4604.599
2018-01-03 20:00:00+00:00,0,3789.832,4545.311
2018-01-03 20:30:00+00:00,0,3814.953,4632.274
2018-01-03 21:00:00+00:00,0,3798.405,4585.592
2018-01-03 21:30:00+00:00,0,3777.725,4434.727
2018-01-03 22:00:00+00:00,0,3746.715,4230.608
2018-01-03 22:30:00+00:00,0,3719.433,4160.954
2018-01-03 23:00:00+00:00,0,3694.813,3775.833
2018-01-03 23:30:00+00:00,0,3648.268,3640.679
2018-01-04 00:00:00+00:00,0,3549.691,3119.782
2018-01-04 00:30:00+00:00,0,3539.394,2911.303
2018-01-04 01:00:00+00:00,0,3553.193,2720.366
2018-01-04 01:30:00+00:00,0,3452.826,2459.156
2018-01-04 02:00:00+00:00,0,3320.994,2012.312
2018-01-04 02:30:00+00:00,0,3142.875,1994.733
2018-01-04 03:00:00+00:00,0,3101.5,1764.061
2018-01-04 03:30:00+00:00,0,2747.715,1559.509
2018-01-04 04:00:00+00:00,0,2316.784,1491.71
2018-01-04 04:30:00+00:00,0,2218.05,1659.549
2018-01-04 05:00:00+00:00,0,2177.241,1588.391
2018-01-04 05:30:00+00:00,0,2059.274,1605.795
2018-01-04 06:00:00+00:00,0,2047.376,1820.743
2018-01-04 06:30:00+00:00,0,1588.78,1886.389
2018-01-04 07:00:00+00:00,0,1356.213,1926.445
2018-01-04 07:30:00+00:00,0,1349.205,2075.76
2018-01-04 08:00:00+00:00,0,1183.675,1963.776
2018-01-04 08:30:00+00:00,128,1463.313,1934.767
2018-01-04 09:00:00+00:00,105,1543.056,1787.754
2018-01-04 09:30:00+00:00,255,1405.236,1830.958
2018-01-04 10:00:00+00:00,549,1378.868,2245.429
2018-01-04 10:30:00+00:00,766,1131.006,2318.364
2018-01-04 11:00:00+00:00,909,1350.857,2722.537
2018-01-04 11:30:00+00:00,1030,1686.035,2722.555
2018-01-04 12:00:00+00:00,1130,2384.992,2825.729
2018-01-04 12:30:00+00:00,1170,3001.333,2839.524
2018-01-04 13:00:00+00:00,1520,3198.7,2856.458
2018-01-04 13:30:00+00:00,1100,3351.487,2892.078
2018-01-04 14:00:00+00:00,1060,3320.08,2924.224
2018-01-04 14:30:00+00:00,724,3355.56,2814.734
2018-01-04 15:00:00+00:00,436,3467.063,2852.696
2018-01-04 15:30:00+00:00,106,3440.24,2859.058
2018-01-04 16:00:00+00:00,1,3471.05,3009.644
2018-01-04 16:30:00+00:00,0,3573.7,2924.018
2018-01-04 17:00:00+00:00,0,3565.675,3008.512
2018-01-04 17:30:00+00:00,0,3581.891,3094.895
2018-01-04 18:00:00+00:00,0,3573.495,2990.876
2018-01-04 18:30:00+00:00,0,3545.561,2908.547
2018-01-04 19:00:00+00:00,0,3539.605,2778.844
2018-01-04 19:30:00+00:00,0,3477.105,2810.152
2018-01-04 20:00:00+00:00,0,3490.011,2546.285
2018-01-04 20:30:00+00:00,0,3528.463,2532.623
2018-01-04 21:00:00+00:00,0,3500.476,2283.824
2018-01-04 21:30:00+00:00,0,3568.879,2115.182
2018-01-04 22:00:00+00:00,0,3281.403,1746.475
2018-01-04 22:30:00+00:00,0,3012.72,1634.561
2018-01-04 23:00:00+00:00,0,2763.985,1506.072
2018-01-04 23:30:00+00:00,0,2722.449,1455.374
2018-01-05 00:00:00+00:00,0,2441.874,1345.208
2018-01-05 00:30:00+00:00,0,2061.574,1383.327
2018-01-05 01:00:00+00:00,0,1908.378,1388.64
2018-01-05 01:30:00+00:00,0,1636.896,1350.701
2018-01-05 02:00:00+00:00,0,1496.479,1294.301
2018-01-05 02:30:00+00:00,0,1520.431,1180.349
2018-01-05 03:00:00+00:00,0,1458.462,1191.863
2018-01-05 03:30:00+00:00,0,1461.885,1236.442
2018-01-05 04:00:00+00:00,0,1173.355,1256.65
2018-01-05 04:30:00+00:00,0,1129.394,1278.487
2018-01-05 05:00:00+00:00,0,1054.949,1251.816
2018-01-05 05:30:00+00:00,0,1239.009,1304.801
2018-01-05 06:00:00+00:00,0,1253.624,1281.885
2018-01-05 06:30:00+00:00,0,1270.693,1290.855
2018-01-05 07:00:00+00:00,0,1404.069,1336.087
2018-01-05 07:30:00+00:00,0,1197.724,1323.31
2018-01-05 08:00:00+00:00,1,1060.872,1320.776
2018-01-05 08:30:00+00:00,57,828.678,1270.255
2018-01-05 09:00:00+00:00,314,811.994,1332.441
2018-01-05 09:30:00+00:00,685,764.508,1317.785
2018-01-05 10:00:00+00:00,1090,1077.683,1349.99
2018-01-05 10:30:00+00:00,1440,924.144,1328.836
2018-01-05 11:00:00+00:00,1740,1054.542,1327.999
2018-01-05 11:30:00+00:00,2030,1178.469,1300.105
2018-01-05 12:00:00+00:00,2090,1109.232,1359.812
2018-01-05 12:30:00+00:00,2000,1147.569,1412.48
2018-01-05 13:00:00+00:00,1473,1182.298,1461.205
2018-01-05 13:30:00+00:00,1550,1281.503,1438.184
2018-01-05 14:00:00+00:00,1300,1292.229,1459.083
2018-01-05 14:30:00+00:00,804,1335.078,1591.521
2018-01-05 15:00:00+00:00,362,1302.472,1647.654
2018-01-05 15:30:00+00:00,78,1356.707,1687.42
2018-01-05 16:00:00+00:00,7,1341.203,1738.618
2018-01-05 16:30:00+00:00,3,1332.614,1733.324
2018-01-05 17:00:00+00:00,3,1319.249,1874.65
2018-01-05 17:30:00+00:00,7,1359.041,1958.095
2018-01-05 18:00:00+00:00,4,1378.034,2174.41
2018-01-05 18:30:00+00:00,0,1432.363,2285.847
2018-01-05 19:00:00+00:00,0,1475.797,2582.766
2018-01-05 19:30:00+00:00,0,1316.341,2779.673
2018-01-05 20:00:00+00:00,0,1134.83,2965.259
2018-01-05 20:30:00+00:00,0,1000.776,2967.037
2018-01-05 21:00:00+00:00,0,823.009,3171.245
2018-01-05 21:30:00+00:00,0,749.626,3333.597
2018-01-05 22:00:00+00:00,0,542.631,3617.899
2018-01-05 22:30:00+00:00,0,614.738,3758.196
2018-01-05 23:00:00+00:00,0,524.029,3827.671
2018-01-05 23:30:00+00:00,0,411.545,3872.506
2018-01-06 00:00:00+00:00,0,384.064,4024.515
2018-01-06 00:30:00+00:00,0,433.648,4197.821
2018-01-06 01:00:00+00:00,0,542.962,4134.439
2018-01-06 01:30:00+00:00,0,627.215,4248.154
2018-01-06 02:00:00+00:00,0,647.378,4209.715
2018-01-06 02:30:00+00:00,0,723.618,4242.802
2018-01-06 03:00:00+00:00,0,643.644,4697.246
2018-01-06 03:30:00+00:00,0,818.061,4972.241
2018-01-06 04:00:00+00:00,0,890.078,5177.718
2018-01-06 04:30:00+00:00,0,1012.561,5191.282
2018-01-06 05:00:00+00:00,0,1221.325,5221.638
2018-01-06 05:30:00+00:00,0,1380.744,5226.863
2018-01-06 06:00:00+00:00,0,1382.003,5293.84
2018-01-06 06:30:00+00:00,0,1360.569,5104.309
2018-01-06 07:00:00+00:00,0,1284.478,5209.492
2018-01-06 07:30:00+00:00,0,1530.568,5247.189
2018-01-06 08:00:00+00:00,1,1646.886,5037.787
2018-01-06 09:00:00+00:00,284,1823.514,5133.444
2018-01-06 09:30:00+00:00,634,2089.959,5145.136
2018-01-06 10:00:00+00:00,1060,2019.139,4980.448
2018-01-06 10:30:00+00:00,1490,2283.927,4726.812
2018-01-06 11:00:00+00:00,1680,2283.996,4493.68
2018-01-06 11:30:00+00:00,1890,2557.17,4266.357
